Actor Name,Type,Gender,Age,Famous Movies,Famous Genre,Overall Rating
Shah Rukh Khan,Lead,Male,59,"Dilwale Dulhania Le Jayenge, My Name Is Khan",Romance,9.3
Amitabh Bachchan,Lead,Male,82,"Sholay, Deewaar, Piku",Drama,9.5
Salman Khan,Lead,Male,59,"Bajrangi Bhaijaan, Dabangg, Sultan",Action,8.8
Aamir Khan,Lead,Male,59,"Lagaan, 3 Idiots, Dangal",Drama,9.4
Deepika Padukone,Lead,Female,39,"Padmaavat, Piku, Chennai Express",Drama,9.2
Priyanka Chopra,Lead,Female,43,"Barfi!, Mary Kom, Fashion",Drama,9.1
Akshay Kumar,Lead,Male,57,"Hera Pheri, Toilet: Ek Prem Katha, Pad Man",Comedy,8.9
Hrithik Roshan,Lead,Male,51,"Kaho Naa... Pyaar Hai, Super 30, War",Action,9
Ranbir Kapoor,Lead,Male,42,"Barfi!, Rockstar, Sanju",Romance,9.1
Alia Bhatt,Lead,Female,32,"Gully Boy, Raazi, Highway",Drama,9.2
Ranveer Singh,Lead,Male,39,"Gully Boy, Padmaavat, Bajirao Mastani",Drama,9
Kareena Kapoor Khan,Lead,Female,44,"Jab We Met, 3 Idiots, Omkara",Romance,8.8
Saif Ali Khan,Lead,Male,54,"Omkara, Dil Chahta Hai, Tanhaji",Thriller,8.7
Ajay Devgn,Lead,Male,55,"Tanhaji, Drishyam, Singham",Action,8.9
Kajol,Lead,Female,50,"Dilwale Dulhania Le Jayenge, My Name Is Khan",Romance,8.9
Irrfan Khan,Lead,Male,53,"The Lunchbox, Paan Singh Tomar, Hindi Medium",Drama,9.6
Nawazuddin Siddiqui,Lead,Male,50,"Gangs of Wasseypur, Sacred Games, Manto",Crime,9.4
Vidya Balan,Lead,Female,46,"The Dirty Picture, Kahaani, Tumhari Sulu",Drama,9
Kangana Ranaut,Lead,Female,38,"Queen, Tanu Weds Manu, Manikarnika",Drama,8.9
Shahid Kapoor,Lead,Male,44,"Kabir Singh, Haider, Jab We Met",Romance,8.8
Anushka Sharma,Lead,Female,37,"PK, Sultan, Rab Ne Bana Di Jodi",Romance,8.7
Varun Dhawan,Lead,Male,38,"Badlapur, Badrinath Ki Dulhania, October",Comedy,8.5
Sidharth Malhotra,Lead,Male,40,"Shershaah, Kapoor & Sons, Ek Villain",Action,8.6
Kiara Advani,Lead,Female,32,"Shershaah, Kabir Singh, Good Newwz",Romance,8.7
Taapsee Pannu,Lead,Female,37,"Pink, Thappad, Badla",Thriller,9
Ayushmann Khurrana,Lead,Male,40,"Andhadhun, Badhaai Ho, Article 15",Comedy,9.1
Rajkummar Rao,Lead,Male,40,"Stree, Newton, Bareilly Ki Barfi",Comedy,9.2
Vicky Kaushal,Lead,Male,37,"Uri: The Surgical Strike, Masaan, Sardar Udham",Action,9.1
Sanjay Dutt,Lead,Male,65,"Munna Bhai M.B.B.S., Vaastav, Khalnayak",Action,8.6
Madhuri Dixit,Lead,Female,58,"Hum Aapke Hain Koun..!, Devdas, Dil To Pagal Hai",Romance,9
Anil Kapoor,Lead,Male,68,"Mr. India, Nayak, Slumdog Millionaire",Drama,8.8
Sridevi,Lead,Female,54,"English Vinglish, Mom, Mr. India",Drama,9.3
Juhi Chawla,Lead,Female,57,"Darr, Qayamat Se Qayamat Tak, Ishq",Romance,8.7
Govinda,Lead,Male,61,"Hero No. 1, Coolie No. 1, Haseena Maan Jaayegi",Comedy,8.5
Rani Mukerji,Lead,Female,47,"Black, Mardaani, Hichki",Drama,8.9
Preity Zinta,Lead,Female,50,"Kal Ho Naa Ho, Veer-Zaara, Dil Se..",Romance,8.6
John Abraham,Lead,Male,52,"Dhoom, Madras Cafe, Parmanu",Action,8.4
Bipasha Basu,Lead,Female,46,"Raaz, Jism, Race",Thriller,8.2
Katrina Kaif,Lead,Female,42,"Zindagi Na Milegi Dobara, Tiger Zinda Hai, Ek Tha Tiger",Action,8.5
Kriti Sanon,Lead,Female,34,"Mimi, Bareilly Ki Barfi, Luka Chuppi",Comedy,8.6
Pankaj Tripathi,Supporting,Male,48,"Mirzapur, Newton, Ludo",Drama,9.5
Manoj Bajpayee,Lead,Male,55,"The Family Man, Gangs of Wasseypur, Satya",Crime,9.4
